Station,Latitude,Longitude,Oxygen (umol/kg),Temperature,Salinity,fluorescence,O2 (% saturated),Depth (m)
1,36.78807,-121.91918,78.387,8.0554,34.0307,9.74E-02,27.16188,226
1,36.78808,-121.91917,79.392,8.093,34.0249,1.07E-01,27.53201,225
1,36.78808,-121.91916,79.986,8.1549,34.0165,1.07E-01,27.77461,224
1,36.78808,-121.91916,80.049,8.2217,34.0051,1.17E-01,27.83572,223
1,36.78808,-121.91916,82.629,8.2341,34.0037,1.14E-01,28.74072,222
1,36.78808,-121.91916,83.738,8.2351,34.0057,1.11E-01,29.12712,221
1,36.78808,-121.91916,83.209,8.3273,33.9925,1.10E-01,29.00006,220
1,36.78808,-121.91916,85.038,8.3788,33.9824,1.15E-01,29.66897,219
1,36.78809,-121.91915,85.594,8.3643,33.9851,1.18E-01,29.85418,218
1,36.7881,-121.91914,86.325,8.3905,33.9823,1.16E-01,30.12606,217
1,36.7881,-121.91914,86.604,8.3896,33.9828,1.12E-01,30.22284,216
1,36.7881,-121.91914,86.467,8.3945,33.9825,1.15E-01,30.17843,215
1,36.7881,-121.91914,86.652,8.411,33.9802,1.26E-01,30.25347,214
1,36.7881,-121.91912,86.981,8.401,33.9821,1.17E-01,30.36211,213
1,36.7881,-121.91912,86.781,8.4172,33.9794,1.20E-01,30.30242,212
1,36.78812,-121.91912,86.661,8.4263,33.9778,1.22E-01,30.26631,211
1,36.7881,-121.91912,87.171,8.4242,33.9779,1.29E-01,30.44304,210
1,36.78811,-121.91911,86.976,8.4283,33.9778,1.13E-01,30.37756,209
1,36.78812,-121.9191,86.993,8.4359,33.9763,1.24E-01,30.38856,208
1,36.78812,-121.9191,87.036,8.4413,33.9752,1.28E-01,30.40681,207
1,36.78812,-121.9191,87.034,8.4417,33.9754,1.22E-01,30.40631,206
1,36.78812,-121.9191,86.897,8.4428,33.9753,1.12E-01,30.35924,205
1,36.78812,-121.9191,86.768,8.4455,33.9748,1.23E-01,30.31597,204
1,36.78812,-121.9191,86.802,8.4512,33.9739,1.19E-01,30.33155,203
1,36.78814,-121.9191,87.199,8.4942,33.9679,1.29E-01,30.49806,202
1,36.78814,-121.9191,87.635,8.5553,33.9595,1.26E-01,30.69006,201
1,36.78814,-121.9191,88.601,8.5837,33.9553,1.48E-01,31.04692,200
1,36.78814,-121.9191,89.351,8.5925,33.9548,1.37E-01,31.31578,199
1,36.78815,-121.9191,89.47,8.6226,33.9496,1.47E-01,31.37735,198
1,36.78814,-121.9191,90.256,8.6239,33.9508,1.49E-01,31.65392,197
1,36.78816,-121.9191,90.208,8.6736,33.9437,1.47E-01,31.67025,196
1,36.78816,-121.9191,91.01,8.6868,33.9413,1.47E-01,31.96082,195
1,36.78816,-121.9191,91.015,8.6927,33.9406,1.54E-01,31.96651,194
1,36.78816,-121.9191,90.699,8.6982,33.9396,1.72E-01,31.85908,193
1,36.78816,-121.9191,90.804,8.6965,33.9398,1.50E-01,31.89477,192
1,36.78816,-121.9191,90.567,8.7051,33.9376,1.49E-01,31.81701,191
1,36.78816,-121.91908,90.102,8.7029,33.9384,1.63E-01,31.65254,190
1,36.78816,-121.91908,90.345,8.7096,33.9368,1.49E-01,31.74212,189
1,36.78816,-121.91908,90.511,8.7156,33.9354,1.51E-01,31.80418,188
1,36.78816,-121.91908,89.724,8.7148,33.9359,1.53E-01,31.52753,187
1,36.78816,-121.91908,89.752,8.7152,33.9358,1.47E-01,31.53756,186
1,36.78816,-121.91908,89.809,8.7234,33.935,1.56E-01,31.56284,185
1,36.78816,-121.91908,90.668,8.728,33.9346,1.50E-01,31.86806,184
1,36.78816,-121.91908,90.939,8.7294,33.9345,1.48E-01,31.96433,183
1,36.78816,-121.91908,91.15,8.7318,33.9343,1.50E-01,32.04007,182
1,36.78816,-121.91908,91.356,8.7357,33.9342,1.46E-01,32.11513,181
1,36.78816,-121.91906,92.152,8.7435,33.933,1.54E-01,32.40046,180
1,36.78816,-121.91906,91.557,8.7504,33.9326,1.52E-01,32.19583,179
1,36.78816,-121.91906,92.485,8.7586,33.9325,1.71E-01,32.52817,178
1,36.78816,-121.91906,94.072,8.7615,33.9322,2.01E-01,33.08823,177
1,36.78816,-121.91906,94.563,8.7696,33.9328,1.56E-01,33.26703,176
1,36.78818,-121.91906,94.849,8.7793,33.933,1.74E-01,33.37497,175
1,36.78818,-121.91906,96.195,8.7801,33.9332,1.77E-01,33.84922,174
1,36.78818,-121.91906,96.676,8.7805,33.9334,1.75E-01,34.01876,173
1,36.78818,-121.91906,96.417,8.7876,33.9336,1.85E-01,33.93322,172
1,36.78818,-121.91906,97.035,8.7969,33.9336,1.84E-01,34.15759,171
1,36.78818,-121.91906,97.907,8.8154,33.9347,1.86E-01,34.47904,170
1,36.78818,-121.91906,100.59,8.8128,33.9354,2.18E-01,35.42181,169
1,36.78818,-121.91904,99.583,8.8492,33.9363,2.00E-01,35.09552,168
1,36.78818,-121.91904,102.486,8.8538,33.9364,2.16E-01,36.12237,167
1,36.78818,-121.91904,103.035,8.859,33.9338,2.13E-01,36.31949,166
1,36.78818,-121.91904,102.899,8.8611,33.9317,2.17E-01,36.27273,165
1,36.78818,-121.91902,102.549,8.8634,33.9315,2.19E-01,36.15094,164
1,36.78818,-121.91903,102.708,8.8765,33.9283,2.21E-01,36.21662,163
1,36.7882,-121.91902,103.817,8.8818,33.9285,2.40E-01,36.61209,162
1,36.7882,-121.91899,104.186,8.8928,33.9283,2.44E-01,36.75073,161
1,36.7882,-121.919,104.333,8.9012,33.9291,2.26E-01,36.80991,160
1,36.7882,-121.919,105.315,8.9042,33.9295,2.32E-01,37.15882,159
1,36.7882,-121.91899,105.596,8.9077,33.9299,2.45E-01,37.26116,158
1,36.7882,-121.91898,106.054,8.9112,33.9304,2.55E-01,37.42579,157
1,36.7882,-121.91898,106.383,8.9133,33.9304,2.56E-01,37.54338,156
1,36.78822,-121.91898,106.413,8.9169,33.9311,2.57E-01,37.55718,155
1,36.78822,-121.91898,106.464,8.9202,33.9313,2.66E-01,37.57809,154
1,36.78821,-121.91896,107.169,8.9188,33.9313,2.49E-01,37.8255,153
1,36.78821,-121.91896,107.021,8.9228,33.9307,2.65E-01,37.77648,152
1,36.78822,-121.91896,107.02,8.9272,33.9283,2.50E-01,37.77925,151
1,36.78822,-121.91896,107.123,8.9292,33.9278,2.43E-01,37.81709,150
1,36.78822,-121.91896,107.408,8.9338,33.9268,2.67E-01,37.92127,149
1,36.78822,-121.91896,107.59,8.9751,33.9197,2.65E-01,38.01791,148
1,36.78823,-121.91898,109.671,8.9819,33.9192,3.00E-01,38.75895,147
1,36.78824,-121.91898,111.122,8.9888,33.9178,3.12E-01,39.27744,146
1,36.78825,-121.91898,112.165,8.9991,33.9171,3.12E-01,39.65492,145
1,36.78826,-121.919,112.326,9.0032,33.9168,3.21E-01,39.71532,144
1,36.78826,-121.919,112.423,9.0063,33.9158,3.16E-01,39.75186,143
1,36.78826,-121.919,113.074,9.0076,33.9156,3.24E-01,39.9833,142
1,36.78826,-121.919,113.023,9.0138,33.9164,3.11E-01,39.97094,141
1,36.78826,-121.919,113.398,9.0173,33.9167,3.29E-01,40.10684,140
1,36.78826,-121.919,114.179,9.0216,33.9166,3.38E-01,40.38674,139
1,36.78826,-121.919,114.375,9.0243,33.9175,3.47E-01,40.45869,138
1,36.78827,-121.919,114.788,9.0304,33.9182,3.64E-01,40.61041,137
1,36.78827,-121.919,115.685,9.0309,33.9184,3.79E-01,40.92844,136
1,36.78828,-121.919,115.695,9.03,33.9184,3.76E-01,40.93086,135
1,36.78828,-121.919,115.663,9.0336,33.9188,3.76E-01,40.92302,134
