Station,Lat (deg N),Lon (deg E),O2 (umol/kg),temp (deg C),sal_psu,O2 (%sat),fluoro,oxy,depth (m)
cast 2,36.7927,-121.89938,92.54,9.16,33.91,32.83,0.0937,281.85,107.44
cast 2,36.7927,-121.89938,93.45,9.19,33.9,33.17,0.0938,281.69,108.56
cast 2,36.7927,-121.89938,92.87,9.18,33.91,32.96,0.0938,281.78,109.38
cast 2,36.7927,-121.89938,91.1,9.15,33.91,32.31,0.0937,281.94,110.4
cast 2,36.7927,-121.89938,93.33,9.19,33.9,33.13,0.0938,281.7,111.59
cast 2,36.7927,-121.89938,92.21,9.17,33.91,32.72,0.0938,281.82,112.45
cast 2,36.7927,-121.89938,92.24,9.17,33.91,32.73,0.0938,281.81,113.36
cast 2,36.7927,-121.89938,89.39,9.12,33.92,31.69,0.0936,282.09,114.39
cast 2,36.7927,-121.89938,92.26,9.17,33.91,32.74,0.0938,281.79,115.6
cast 2,36.7927,-121.89938,93.06,9.19,33.91,33.03,0.0937,281.72,116.36
cast 2,36.7927,-121.89938,87.81,9.1,33.92,31.11,0.0936,282.21,117.61
cast 2,36.7927,-121.89938,89.26,9.12,33.92,31.64,0.0936,282.11,118.38
cast 2,36.7927,-121.89938,91.57,9.14,33.91,32.47,0.0937,282,119.56
cast 2,36.7927,-121.89938,91.41,9.13,33.92,32.41,0.0935,282.03,120.56
cast 2,36.7927,-121.89938,86.99,9.08,33.93,30.81,0.0936,282.33,121.55
cast 2,36.7927,-121.89938,86.78,9.07,33.93,30.73,0.0935,282.37,122.3
cast 2,36.7927,-121.89938,86.82,9.06,33.94,30.74,0.0935,282.44,123.45
cast 2,36.7927,-121.89938,88.48,9.09,33.93,31.35,0.0935,282.29,124.57
cast 2,36.7927,-121.89938,89.16,9.09,33.93,31.59,0.0934,282.25,125.51
cast 2,36.7927,-121.89938,85.48,9.03,33.94,30.25,0.0934,282.6,126.54
cast 2,36.7927,-121.89938,86.91,9.05,33.94,30.76,0.0933,282.51,127.4
cast 2,36.7927,-121.89938,88.33,9.07,33.93,31.28,0.0934,282.36,128.48
cast 2,36.7927,-121.89938,86.63,9.06,33.93,30.67,0.0934,282.45,129.58
cast 2,36.7927,-121.89938,84.16,9.01,33.95,29.77,0.0935,282.71,130.63
cast 2,36.7927,-121.89938,84.16,9.03,33.94,29.78,0.0935,282.62,131.35
cast 2,36.7927,-121.89938,83.88,9.01,33.94,29.67,0.0936,282.7,132.46
cast 2,36.7927,-121.89938,84,9,33.95,29.7,0.0935,282.78,133.5
cast 2,36.7927,-121.89938,84.26,9,33.95,29.8,0.0934,282.81,134.66
cast 2,36.7927,-121.89938,82.82,8.98,33.95,29.28,0.0933,282.87,135.53
cast 2,36.7927,-121.89938,83.08,8.98,33.96,29.37,0.0934,282.9,136.66
cast 2,36.7927,-121.89938,83,8.97,33.96,29.34,0.0932,282.93,137.3
cast 2,36.7927,-121.89938,81.92,8.96,33.96,28.95,0.0934,283.01,138.49
cast 2,36.7927,-121.89938,80.85,8.95,33.96,28.56,0.0933,283.08,139.5
cast 2,36.7927,-121.89938,80.59,8.94,33.96,28.46,0.0933,283.15,140.42
cast 2,36.7927,-121.89938,80.25,8.93,33.96,28.33,0.0934,283.21,141.41
cast 2,36.7927,-121.89938,80.59,8.93,33.96,28.46,0.0932,283.2,142.5
cast 2,36.7927,-121.89938,80.47,8.92,33.96,28.41,0.0933,283.23,143.52
cast 2,36.7927,-121.89938,80.05,8.92,33.96,28.26,0.0934,283.25,144.5
cast 2,36.7927,-121.89938,78.9,8.9,33.97,27.84,0.0933,283.36,145.46
cast 2,36.7927,-121.89938,79.47,8.91,33.97,28.05,0.0934,283.32,146.35
cast 2,36.7927,-121.89938,79.73,8.9,33.96,28.14,0.0934,283.36,147.56
cast 2,36.7927,-121.89938,78.3,8.88,33.97,27.62,0.0932,283.51,148.62
cast 2,36.7927,-121.89938,77.63,8.87,33.97,27.38,0.0934,283.57,149.53
cast 2,36.7927,-121.89938,75.14,8.79,33.99,26.46,0.0933,283.99,150.49
cast 2,36.7927,-121.89938,75.98,8.77,33.98,26.74,0.0932,284.13,151.47
cast 2,36.7927,-121.89938,76.69,8.84,33.98,27.03,0.0934,283.69,152.65
cast 2,36.7927,-121.89938,76.18,8.81,33.98,26.83,0.0934,283.93,153.51
cast 2,36.7927,-121.89938,74,8.73,33.99,26.02,0.0934,284.39,154.41
cast 2,36.7927,-121.89938,74.12,8.73,33.99,26.07,0.0933,284.39,155.23
cast 2,36.7927,-121.89938,77.59,8.84,33.97,27.35,0.0934,283.75,156.3
cast 2,36.7927,-121.89938,75.39,8.77,33.98,26.54,0.0933,284.12,157.46
cast 2,36.7927,-121.89938,73.71,8.72,33.99,25.91,0.0933,284.43,158.44
cast 2,36.7927,-121.89938,74.13,8.75,33.99,26.08,0.0934,284.29,159.41
cast 2,36.7927,-121.89938,73.18,8.7,33.99,25.72,0.0934,284.53,160.49
cast 2,36.7927,-121.89938,73.32,8.71,33.99,25.77,0.0933,284.53,161.42
cast 2,36.7927,-121.89938,73.59,8.72,33.99,25.87,0.0934,284.44,162.53
cast 2,36.7927,-121.89938,72.63,8.67,34,25.51,0.0934,284.74,163.4
cast 2,36.7927,-121.89938,73.52,8.71,33.99,25.84,0.0933,284.51,164.64
cast 2,36.7927,-121.89938,71.91,8.64,34,25.24,0.0933,284.91,165.44
cast 2,36.7927,-121.89938,72.54,8.67,34,25.47,0.0933,284.77,166.5
cast 2,36.7927,-121.89938,72.71,8.66,34,25.53,0.0933,284.81,167.59
cast 2,36.7927,-121.89938,71.63,8.63,34,25.13,0.0935,285.01,168.46
cast 2,36.7927,-121.89938,71.21,8.61,34.01,24.98,0.0934,285.12,169.35
cast 2,36.7927,-121.89938,70.79,8.58,34.01,24.82,0.0933,285.26,170.63
cast 2,36.7927,-121.89938,71.02,8.59,34.01,24.9,0.0933,285.23,171.51
cast 2,36.7927,-121.89938,70.69,8.58,34.01,24.78,0.0934,285.32,172.65
cast 2,36.7927,-121.89938,70.53,8.57,34.01,24.72,0.0934,285.38,173.49
cast 2,36.7927,-121.89938,70.54,8.57,34.01,24.72,0.0934,285.38,174.34
cast 2,36.7927,-121.89938,70.66,8.57,34.01,24.77,0.0933,285.33,175.4
cast 2,36.7927,-121.89938,70.53,8.57,34.01,24.71,0.0934,285.37,176.6
cast 2,36.7927,-121.89938,69.67,8.53,34.01,24.4,0.0934,285.59,177.58
cast 2,36.7927,-121.89938,71.12,8.6,34.01,24.94,0.0934,285.18,178.57
cast 2,36.7927,-121.89938,70.89,8.59,34.01,24.85,0.0933,285.23,179.45
cast 2,36.7927,-121.89938,69.06,8.51,34.02,24.17,0.0933,285.69,180.45
cast 2,36.7927,-121.89938,68.89,8.5,34.02,24.11,0.0932,285.74,181.49
cast 2,36.7927,-121.89938,70.24,8.57,34.01,24.62,0.0933,285.36,182.41
cast 2,36.7927,-121.89938,69.85,8.55,34.01,24.47,0.0934,285.47,183.41
cast 2,36.7927,-121.89938,68.27,8.48,34.02,23.88,0.0932,285.88,184.47
cast 2,36.7927,-121.89938,69.77,8.53,34.02,24.43,0.0932,285.57,185.52
cast 2,36.7927,-121.89938,69.43,8.53,34.02,24.31,0.0933,285.59,186.63
cast 2,36.7927,-121.89938,69.07,8.51,34.02,24.18,0.0933,285.72,187.54
cast 2,36.7927,-121.89938,68.46,8.48,34.01,23.95,0.0933,285.91,188.55
cast 2,36.7927,-121.89938,68.23,8.44,34.02,23.84,0.0933,286.15,189.49
cast 2,36.7927,-121.89938,67.87,8.42,34.03,23.71,0.0933,286.26,190.51
cast 2,36.7927,-121.89938,66.68,8.4,34.03,23.28,0.0933,286.37,191.45
cast 2,36.7927,-121.89938,66.05,8.39,34.04,23.06,0.0933,286.46,192.38
cast 2,36.7927,-121.89938,66.78,8.4,34.03,23.32,0.0933,286.36,193.56
cast 2,36.7927,-121.89938,66.31,8.4,34.03,23.15,0.0933,286.41,194.53
cast 2,36.7927,-121.89938,65.32,8.35,34.04,22.79,0.0933,286.69,195.63
cast 2,36.7927,-121.89938,65.47,8.35,34.04,22.84,0.0933,286.67,196.64
cast 2,36.7927,-121.89938,65.17,8.33,34.04,22.72,0.0933,286.8,197.44
cast 2,36.7927,-121.89938,65.39,8.33,34.04,22.8,0.0933,286.78,198.44
cast 2,36.7927,-121.89938,65.45,8.35,34.04,22.83,0.0934,286.71,199.43
cast 2,36.7927,-121.89938,64.9,8.33,34.04,22.63,0.0934,286.8,200.37
cast 2,36.7927,-121.89938,63.67,8.28,34.05,22.18,0.0933,287.13,201.68
cast 2,36.7927,-121.89938,63,8.25,34.05,21.93,0.0933,287.3,202.58
cast 2,36.7927,-121.89938,62.87,8.23,34.05,21.87,0.0933,287.45,203.39
cast 2,36.7927,-121.89938,61.06,8.17,34.06,21.21,0.0932,287.81,204.58
cast 2,36.7927,-121.89938,60.13,8.13,34.07,20.88,0.0932,288.01,205.67
cast 2,36.7927,-121.89938,60.14,8.13,34.07,20.88,0.0932,288.04,206.49
cast 2,36.7927,-121.89938,60.1,8.12,34.07,20.86,0.0932,288.09,207.39
cast 3,36.79562,-121.87887,232.78,13.03,33.35,89.25,0.0967,260.75,0.46
cast 3,36.79562,-121.87887,234.52,12.89,33.35,89.64,0.0961,261.52,1.51
cast 3,36.79562,-121.87887,242.05,12.71,33.37,92.2,0.097,262.46,2.48
cast 3,36.79562,-121.87887,247.21,12.61,33.32,93.96,0.0977,263.09,3.46
cast 3,36.79562,-121.87887,234.89,12.75,33.31,89.52,0.0985,262.31,4.48
cast 3,36.79562,-121.87887,240.44,12.49,33.28,91.14,0.0994,263.78,5.4
cast 3,36.79562,-121.87887,242.42,12.55,33.32,92.02,0.1001,263.38,6.58
cast 3,36.79562,-121.87887,240.08,12.53,33.28,91.04,0.1009,263.58,7.6
cast 3,36.79562,-121.87887,220.91,12.64,33.3,83.98,0.1022,262.95,8.34
cast 3,36.79562,-121.87887,244.22,12.34,33.27,92.28,0.1035,264.62,9.43
cast 3,36.79562,-121.87887,253.56,12.27,33.27,95.67,0.1048,265.02,10.37
cast 3,36.79562,-121.87887,244.51,12.31,33.32,92.37,0.1065,264.69,11.35
cast 3,36.79562,-121.87887,243.69,12.17,33.29,91.78,0.1073,265.51,12.72
cast 3,36.79562,-121.87887,238.44,12.16,33.31,89.78,0.1082,265.56,13.45
cast 3,36.79562,-121.87887,242.14,11.88,33.31,90.65,0.1098,267.1,14.5
cast 3,36.79562,-121.87887,244.74,11.8,33.34,91.5,0.1144,267.48,15.48
cast 3,36.79562,-121.87887,244.92,11.79,33.34,91.56,0.1152,267.51,16.51
cast 3,36.79562,-121.87887,240.26,11.75,33.35,89.74,0.1176,267.73,17.35
cast 3,36.79562,-121.87887,237.6,11.72,33.36,88.69,0.1182,267.91,18.67
cast 3,36.79562,-121.87887,228.86,11.62,33.39,85.27,0.119,268.42,19.33
cast 3,36.79562,-121.87887,208.65,11.42,33.43,77.46,0.1188,269.44,20.61
cast 3,36.79562,-121.87887,198.3,11.2,33.46,73.32,0.1163,270.63,21.64
cast 3,36.79562,-121.87887,211.36,11.22,33.41,78.13,0.1164,270.64,22.44
cast 3,36.79562,-121.87887,184.09,10.92,33.5,67.63,0.1137,272.19,23.47
cast 3,36.79562,-121.87887,178.06,10.87,33.52,65.36,0.1116,272.42,24.5
cast 3,36.79562,-121.87887,176.32,10.81,33.53,64.64,0.1106,272.78,25.74
cast 3,36.79562,-121.87887,174.19,10.77,33.54,63.82,0.1095,272.94,26.61
cast 3,36.79562,-121.87887,174.59,10.75,33.55,63.94,0.1085,273.06,27.65
cast 3,36.79562,-121.87887,172.07,10.73,33.56,62.99,0.1077,273.18,28.62
cast 3,36.79562,-121.87887,172.29,10.72,33.56,63.06,0.1069,273.2,29.42
cast 3,36.79562,-121.87887,172.76,10.72,33.56,63.24,0.1071,273.19,30.55
cast 3,36.79562,-121.87887,171.58,10.72,33.56,62.8,0.1061,273.22,31.6
cast 3,36.79562,-121.87887,172.24,10.73,33.56,63.05,0.1062,273.17,32.52
cast 3,36.79562,-121.87887,171.16,10.71,33.57,62.64,0.1063,273.23,33.52
cast 3,36.79562,-121.87887,169.29,10.7,33.57,61.94,0.1056,273.32,34.36
cast 3,36.79562,-121.87887,169.45,10.69,33.58,61.99,0.1049,273.35,35.41
cast 3,36.79562,-121.87887,168.35,10.67,33.58,61.56,0.1045,273.46,36.61
cast 3,36.79562,-121.87887,168.13,10.67,33.58,61.48,0.105,273.47,37.28
cast 3,36.79562,-121.87887,164.67,10.62,33.59,60.16,0.1024,273.71,38.52
cast 3,36.79562,-121.87887,165.58,10.6,33.6,60.47,0.1019,273.84,39.54
cast 3,36.79562,-121.87887,163.59,10.58,33.61,59.72,0.1004,273.94,40.61
cast 3,36.79562,-121.87887,163.23,10.56,33.61,59.57,0.0992,274.04,41.63
cast 3,36.79562,-121.87887,162.89,10.55,33.61,59.43,0.0991,274.09,42.42
cast 3,36.79562,-121.87887,163.1,10.53,33.62,59.48,0.0989,274.19,43.51
cast 3,36.79562,-121.87887,161.9,10.52,33.61,59.02,0.0985,274.31,44.65
cast 3,36.79562,-121.87887,160.17,10.46,33.64,58.33,0.098,274.59,45.49
cast 3,36.79562,-121.87887,154.12,10.32,33.67,55.97,0.0972,275.37,46.44
cast 3,36.79562,-121.87887,151.73,10.28,33.68,55.07,0.0974,275.53,47.69
cast 3,36.79562,-121.87887,150.41,10.27,33.69,54.57,0.0977,275.62,48.42
cast 3,36.79562,-121.87887,150.47,10.24,33.69,54.56,0.0973,275.8,49.49
cast 3,36.79562,-121.87887,147.26,10.17,33.71,53.32,0.0973,276.17,50.64
cast 3,36.79562,-121.87887,146.33,10.16,33.71,52.98,0.0972,276.22,51.49
cast 3,36.79562,-121.87887,147.48,10.18,33.7,53.41,0.0971,276.11,52.27
cast 3,36.79562,-121.87887,144.53,10.13,33.71,52.3,0.097,276.36,53.55
cast 3,36.79562,-121.87887,141.94,10.11,33.72,51.34,0.0969,276.5,54.48
cast 3,36.79562,-121.87887,138.14,10.05,33.73,49.9,0.0971,276.83,55.43
cast 3,36.79562,-121.87887,135.11,10,33.74,48.76,0.0965,277.09,56.47
cast 3,36.79562,-121.87887,135.36,9.99,33.73,48.84,0.0962,277.17,57.51
cast 3,36.79562,-121.87887,135.37,9.97,33.74,48.81,0.0958,277.31,58.59
cast 3,36.79562,-121.87887,130.2,9.91,33.75,46.9,0.0959,277.61,59.44
cast 3,36.79562,-121.87887,126.34,9.87,33.76,45.47,0.0955,277.85,60.6
cast 3,36.79562,-121.87887,126.02,9.85,33.76,45.34,0.0954,277.94,61.42
cast 3,36.79562,-121.87887,125.88,9.84,33.76,45.28,0.0953,278.03,62.45
cast 3,36.79562,-121.87887,124.26,9.82,33.77,44.67,0.0953,278.16,63.59
cast 3,36.79562,-121.87887,122.07,9.81,33.77,43.88,0.0953,278.19,64.43
cast 3,36.79562,-121.87887,122.2,9.8,33.77,43.92,0.0954,278.24,65.47
cast 3,36.79562,-121.87887,119.66,9.79,33.78,43,0.0954,278.29,66.53
cast 3,36.79562,-121.87887,119.68,9.78,33.78,42.99,0.0954,278.37,67.49
cast 3,36.79562,-121.87887,119.44,9.77,33.78,42.9,0.0954,278.4,68.52
cast 3,36.79562,-121.87887,117.94,9.74,33.78,42.34,0.0954,278.56,69.56
cast 3,36.79562,-121.87887,117.39,9.73,33.79,42.13,0.0955,278.64,70.32
cast 3,36.79562,-121.87887,117.99,9.71,33.79,42.33,0.0953,278.75,71.65
cast 3,36.79562,-121.87887,115.33,9.69,33.79,41.36,0.0953,278.84,72.37
cast 3,36.79562,-121.87887,115.76,9.71,33.79,41.53,0.0952,278.76,73.65
cast 3,36.79562,-121.87887,115.67,9.69,33.79,41.48,0.0952,278.86,74.46
cast 3,36.79562,-121.87887,113.11,9.63,33.8,40.51,0.0952,279.23,75.6
cast 3,36.79562,-121.87887,112.18,9.58,33.81,40.14,0.0952,279.52,76.47
cast 3,36.79562,-121.87887,107.51,9.51,33.83,38.42,0.0947,279.86,77.31
cast 3,36.79562,-121.87887,108.55,9.57,33.83,38.83,0.095,279.56,78.57
cast 3,36.79562,-121.87887,105.83,9.5,33.84,37.8,0.0951,279.94,79.58
cast 3,36.79562,-121.87887,105.32,9.45,33.85,37.58,0.0946,280.24,80.6
cast 3,36.79562,-121.87887,104.78,9.44,33.85,37.38,0.0946,280.29,81.39
cast 3,36.79562,-121.87887,104.55,9.43,33.85,37.3,0.0945,280.33,82.47
cast 3,36.79562,-121.87887,104.33,9.43,33.85,37.22,0.0944,280.34,83.47
cast 3,36.79562,-121.87887,103.66,9.4,33.86,36.95,0.0943,280.51,84.5
cast 3,36.79562,-121.87887,103.58,9.4,33.86,36.93,0.0944,280.5,85.47
cast 3,36.79562,-121.87887,103.5,9.4,33.86,36.9,0.0944,280.5,86.51
cast 3,36.79562,-121.87887,103.37,9.4,33.86,36.85,0.0943,280.53,87.65
cast 3,36.79562,-121.87887,103.17,9.39,33.86,36.78,0.0943,280.54,88.51
cast 3,36.79562,-121.87887,103.27,9.39,33.86,36.81,0.0943,280.55,89.5
cast 3,36.79562,-121.87887,103.11,9.39,33.86,36.75,0.0942,280.57,90.48
cast 3,36.79562,-121.87887,103.09,9.38,33.86,36.73,0.0941,280.64,91.63
cast 3,36.79562,-121.87887,102.63,9.38,33.86,36.57,0.0942,280.63,92.45
cast 3,36.79562,-121.87887,102.25,9.37,33.86,36.43,0.0941,280.68,93.58
cast 3,36.79562,-121.87887,102.24,9.37,33.86,36.43,0.0941,280.67,94.37
cast 3,36.79562,-121.87887,102.16,9.37,33.86,36.4,0.0941,280.67,95.47
cast 3,36.79562,-121.87887,101.63,9.36,33.87,36.2,0.0941,280.74,96.62
cast 3,36.79562,-121.87887,101.11,9.35,33.87,36.01,0.0941,280.79,97.62
cast 3,36.79562,-121.87887,100.93,9.35,33.87,35.94,0.0941,280.79,98.48
cast 3,36.79562,-121.87887,100.93,9.35,33.87,35.94,0.0941,280.78,99.46
cast 3,36.79562,-121.87887,100.65,9.35,33.87,35.84,0.0941,280.81,100.65
cast 3,36.79562,-121.87887,99.99,9.33,33.87,35.6,0.0942,280.89,101.54
cast 3,36.79562,-121.87887,99.97,9.33,33.87,35.59,0.0941,280.93,102.37
cast 3,36.79562,-121.87887,98.26,9.29,33.88,34.96,0.0941,281.1,103.62
cast 3,36.79562,-121.87887,97.68,9.28,33.88,34.74,0.0942,281.2,104.29
cast 3,36.79562,-121.87887,96.03,9.27,33.88,34.14,0.0939,281.24,105.48
cast 3,36.79562,-121.87887,95.25,9.24,33.89,33.84,0.0941,281.44,106.52
cast 3,36.79562,-121.87887,92.93,9.22,33.9,33.01,0.0941,281.53,107.4
cast 3,36.79562,-121.87887,92.51,9.22,33.9,32.86,0.0941,281.53,108.5
cast 3,36.79562,-121.87887,92.65,9.21,33.9,32.9,0.094,281.57,109.57
cast 3,36.79562,-121.87887,92.06,9.21,33.9,32.69,0.0939,281.6,110.5
cast 3,36.79562,-121.87887,91.93,9.2,33.9,32.64,0.0941,281.65,111.4
cast 3,36.79562,-121.87887,91.6,9.2,33.9,32.52,0.094,281.66,112.29
cast 3,36.79562,-121.87887,91.5,9.19,33.9,32.48,0.0939,281.7,113.59
cast 3,36.79562,-121.87887,91.14,9.19,33.9,32.35,0.094,281.7,114.6
cast 3,36.79562,-121.87887,91.17,9.19,33.9,32.36,0.0939,281.71,115.32
cast 3,36.79562,-121.87887,90.94,9.18,33.9,32.28,0.0941,281.73,116.47
cast 3,36.79562,-121.87887,90.23,9.18,33.91,32.02,0.0939,281.77,117.41
cast 3,36.79562,-121.87887,89.97,9.15,33.91,31.91,0.0939,281.93,118.65
cast 3,36.79562,-121.87887,89.91,9.13,33.92,31.88,0.0938,282.02,119.56
cast 3,36.79562,-121.87887,89.43,9.13,33.92,31.71,0.0938,282.02,120.72
cast 3,36.79562,-121.87887,89.43,9.13,33.92,31.71,0.0938,282.03,121.31
cast 3,36.79562,-121.87887,89.7,9.12,33.92,31.8,0.0938,282.11,122.47
cast 3,36.79562,-121.87887,89.18,9.12,33.92,31.61,0.0937,282.13,123.62
cast 3,36.79562,-121.87887,88.97,9.11,33.92,31.53,0.0937,282.13,124.47
cast 3,36.79562,-121.87887,88.41,9.11,33.92,31.33,0.0938,282.15,125.41
cast 3,36.79562,-121.87887,88.31,9.09,33.92,31.29,0.0938,282.27,126.5
cast 3,36.79562,-121.87887,86.46,9.07,33.93,30.62,0.0936,282.39,127.43
cast 3,36.79562,-121.87887,86.27,9.08,33.93,30.55,0.0935,282.35,128.57
cast 3,36.79562,-121.87887,84.83,9.05,33.94,30.03,0.0935,282.53,129.42
cast 3,36.79562,-121.87887,84.79,9.05,33.93,30.02,0.0935,282.49,130.54
cast 3,36.79562,-121.87887,84.17,9.03,33.94,29.78,0.0935,282.6,131.5
cast 3,36.79562,-121.87887,82.2,9.02,33.94,29.08,0.0934,282.66,132.65
cast 3,36.79562,-121.87887,81.03,8.99,33.95,28.65,0.0934,282.85,133.35
cast 3,36.79562,-121.87887,81.18,8.98,33.95,28.7,0.0934,282.89,134.54
cast 3,36.79562,-121.87887,81.58,8.98,33.95,28.83,0.0935,282.91,135.39
cast 3,36.79562,-121.87887,81.6,8.97,33.95,28.84,0.0934,282.94,136.66
cast 3,36.79562,-121.87887,81.83,8.97,33.95,28.92,0.0935,282.98,137.34
cast 3,36.79562,-121.87887,81.7,8.96,33.95,28.87,0.0934,283.03,138.67
cast 3,36.79562,-121.87887,81.44,8.95,33.95,28.77,0.0934,283.06,139.4
cast 3,36.79562,-121.87887,81.59,8.96,33.95,28.83,0.0934,283.05,140.65
cast 3,36.79562,-121.87887,81.26,8.94,33.95,28.7,0.0935,283.16,141.54
cast 3,36.79562,-121.87887,80.81,8.92,33.95,28.53,0.0935,283.27,142.58
cast 3,36.79562,-121.87887,81.39,8.94,33.95,28.74,0.0935,283.16,143.54
cast 3,36.79562,-121.87887,80.58,8.92,33.95,28.44,0.0935,283.29,144.49
cast 3,36.79562,-121.87887,80.36,8.9,33.96,28.36,0.0935,283.39,145.57
cast 3,36.79562,-121.87887,79.44,8.87,33.96,28.01,0.0935,283.57,146.48
cast 3,36.79562,-121.87887,79.95,8.89,33.96,28.2,0.0934,283.47,147.45
cast 3,36.79562,-121.87887,80.33,8.9,33.96,28.34,0.0935,283.42,148.38
cast 3,36.79562,-121.87887,80.14,8.89,33.96,28.27,0.0935,283.46,149.53
cast 3,36.79562,-121.87887,78.89,8.86,33.96,27.81,0.0936,283.65,150.5
cast 3,36.79562,-121.87887,80.48,8.9,33.96,28.4,0.0936,283.4,151.65
cast 3,36.79562,-121.87887,79.15,8.87,33.96,27.91,0.0937,283.57,152.64
cast 3,36.79562,-121.87887,78.81,8.85,33.96,27.78,0.0935,283.68,153.49
cast 3,36.79562,-121.87887,78.89,8.84,33.96,27.8,0.0935,283.77,154.36
cast 3,36.79562,-121.87887,78.07,8.81,33.97,27.5,0.0935,283.91,155.35
cast 3,36.79562,-121.87887,77,8.79,33.97,27.11,0.0936,284.07,156.55
cast 3,36.79562,-121.87887,77.23,8.79,33.97,27.19,0.0935,284.02,157.65
cast 3,36.79562,-121.87887,75.46,8.75,33.98,26.55,0.0935,284.27,158.3
cast 3,36.79562,-121.87887,74.6,8.72,33.98,26.22,0.0934,284.47,159.37
cast 3,36.79562,-121.87887,74.38,8.7,33.99,26.14,0.0935,284.6,160.51
cast 3,36.79562,-121.87887,73.89,8.68,33.99,25.96,0.0935,284.69,161.49
cast 3,36.79562,-121.87887,73.77,8.67,33.99,25.91,0.0935,284.77,162.54
cast 3,36.79562,-121.87887,73.38,8.65,33.99,25.76,0.0935,284.86,163.42
cast 3,36.79562,-121.87887,73.01,8.64,33.99,25.62,0.0934,284.93,164.62
cast 3,36.79562,-121.87887,72.93,8.64,33.99,25.59,0.0935,284.94,165.36
cast 3,36.79562,-121.87887,72.74,8.64,33.99,25.53,0.0934,284.97,166.61
cast 3,36.79562,-121.87887,72.71,8.63,33.99,25.51,0.0935,284.98,167.69
cast 3,36.79562,-121.87887,72.8,8.63,34,25.54,0.0935,284.99,168.32
cast 3,36.79562,-121.87887,72.4,8.63,33.99,25.4,0.0935,285.03,169.53
cast 3,36.79562,-121.87887,72.47,8.62,34,25.42,0.0934,285.04,170.6
cast 3,36.79562,-121.87887,72.53,8.62,34,25.45,0.0935,285.04,171.48
cast 3,36.79562,-121.87887,72.56,8.62,34,25.45,0.0934,285.05,172.34
cast 3,36.79562,-121.87887,72.22,8.62,33.99,25.33,0.0934,285.09,173.56
cast 3,36.79562,-121.87887,72.35,8.61,34,25.37,0.0934,285.15,174.6
cast 3,36.79562,-121.87887,71.42,8.59,34,25.04,0.0934,285.25,175.57
cast 3,36.79562,-121.87887,70.86,8.57,34,24.83,0.0934,285.4,176.44
cast 3,36.79562,-121.87887,70.44,8.55,34.01,24.67,0.0934,285.49,177.62
cast 3,36.79562,-121.87887,70.63,8.55,34.01,24.74,0.0934,285.46,178.68
cast 3,36.79562,-121.87887,70.53,8.55,34.01,24.71,0.0934,285.48,179.47
cast 3,36.79562,-121.87887,70.36,8.55,34.01,24.65,0.0934,285.5,180.31
cast 3,36.79562,-121.87887,70.12,8.54,34.01,24.56,0.0934,285.51,181.36
cast 3,36.79562,-121.87887,70.16,8.55,34.01,24.57,0.0935,285.5,182.44
cast 3,36.79562,-121.87887,70.01,8.54,34.02,24.52,0.0934,285.53,183.39
cast 3,36.79562,-121.87887,69.67,8.53,34.02,24.4,0.0934,285.6,184.52
cast 3,36.79562,-121.87887,68.15,8.5,34.03,23.85,0.0934,285.76,185.64
cast 3,36.79562,-121.87887,69.12,8.51,34.02,24.19,0.0933,285.7,186.45
cast 3,36.79562,-121.87887,68.69,8.49,34.02,24.03,0.0934,285.82,187.57
cast 3,36.79562,-121.87887,66.37,8.39,34.04,23.17,0.0934,286.41,188.49
cast 3,36.79562,-121.87887,65.92,8.38,34.04,23.01,0.0932,286.5,189.41
cast 3,36.79562,-121.87887,66.28,8.39,34.03,23.14,0.0934,286.42,190.63
cast 3,36.79562,-121.87887,66.04,8.37,34.04,23.05,0.0933,286.56,191.45
cast 3,36.79562,-121.87887,64.66,8.31,34.04,22.54,0.0934,286.91,192.65
cast 3,36.79562,-121.87887,63.97,8.29,34.05,22.29,0.0932,287.03,193.38
cast 3,36.79562,-121.87887,63.92,8.3,34.05,22.27,0.0932,287.01,194.52
cast 3,36.79562,-121.87887,63.48,8.28,34.05,22.11,0.0933,287.11,195.59
cast 3,36.79562,-121.87887,62.73,8.26,34.06,21.84,0.0932,287.22,196.59
cast 3,36.79562,-121.87887,63.15,8.26,34.05,21.99,0.0932,287.2,197.56
cast 3,36.79562,-121.87887,63.19,8.26,34.05,22,0.0933,287.21,198.35
cast 3,36.79562,-121.87887,62.25,8.23,34.06,21.66,0.0932,287.41,199.62
cast 3,36.79562,-121.87887,62.59,8.24,34.06,21.78,0.0932,287.32,200.37
cast 3,36.79562,-121.87887,61.78,8.21,34.06,21.49,0.0932,287.53,201.44
cast 3,36.79562,-121.87887,61.63,8.2,34.06,21.43,0.0933,287.58,202.46
cast 3,36.79562,-121.87887,60.96,8.18,34.07,21.19,0.0932,287.72,203.61
cast 3,36.79562,-121.87887,61.07,8.18,34.07,21.22,0.0932,287.72,204.43
cast 3,36.79562,-121.87887,61.31,8.18,34.06,21.31,0.0932,287.69,205.51
cast 4,36.7957,-121.8549,257.07,12.81,33.28,98.1,0.0979,262.06,0.57
cast 4,36.7957,-121.8549,245.05,12.87,33.25,93.6,0.0994,261.76,1.51
cast 4,36.7957,-121.8549,240.88,12.88,33.3,92.04,0.0985,261.67,2.48
